Time,State,Board Temp (C),Deploy Percent (%),Altitude,Velocity,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Quarterion W,Quarterion X,Quarterion Y,Quarterion Z
408291054,0,19.18,0,1400.38,-1.47,0.69,0.04,0.98,0.36,0.72,0.12,0.59
408417673,0,19.65,0,1400.38,-0.91,-0.11,-1.20,0.34,0.36,0.72,0.12,0.59
408541054,0,20.12,0,1400.38,-0.58,1.42,0.88,0.61,0.36,0.72,0.12,0.59
408667682,0,19.65,0,1400.38,-0.27,-1.11,-0.88,1.25,0.36,0.72,0.12,0.59
408791053,0,19.65,0,1400.38,-0.14,0.34,-1.46,0.00,0.36,0.72,0.12,0.59
408917690,0,19.65,0,1400.38,-0.02,0.53,0.89,1.15,0.36,0.72,0.12,0.59
409041053,0,20.12,0,1400.38,0.07,0.37,-1.26,0.51,0.36,0.72,0.12,0.59
409167914,0,19.65,0,1402.81,6.37,0.25,-1.29,0.95,0.36,0.71,0.12,0.59
409291056,0,19.18,0,1402.81,4.46,0.59,-0.67,0.74,0.36,0.71,0.12,0.59
409419026,0,19.18,0,1402.81,3.00,-0.12,-0.64,0.58,0.36,0.71,0.12,0.59
409541054,0,19.65,0,1402.81,2.18,0.72,-0.90,1.60,0.36,0.71,0.12,0.59
409667663,0,20.12,0,1402.81,1.49,0.55,-0.39,0.37,0.36,0.72,0.12,0.59
409791054,0,19.65,0,1402.81,1.07,0.68,-0.04,0.87,0.36,0.72,0.12,0.59
409917655,0,18.71,0,1402.81,0.83,0.63,-0.76,0.91,0.36,0.71,0.12,0.59
410041054,0,19.65,0,1402.81,0.63,-0.68,-1.09,0.70,0.36,0.72,0.12,0.59
410167678,0,19.65,0,1398.62,-9.94,-0.56,-0.37,1.40,0.36,0.72,0.12,0.59
410291051,0,19.65,0,1398.62,-6.71,-1.74,-1.08,0.28,0.36,0.72,0.12,0.59
410417673,0,19.65,0,1398.62,-4.39,-0.38,-0.31,0.50,0.36,0.72,0.12,0.59
410541054,0,20.12,0,1398.62,-2.91,2.35,-1.17,1.44,0.36,0.72,0.12,0.59
410667701,0,19.65,0,1398.62,-1.86,-0.52,-1.97,0.26,0.36,0.72,0.12,0.59
410791057,0,20.12,0,1398.62,-1.21,0.84,-0.95,1.05,0.36,0.71,0.12,0.59
410918435,0,19.18,0,1398.62,-0.70,-0.30,-0.99,0.21,0.36,0.72,0.12,0.59
411041055,0,20.12,0,1398.62,-0.43,1.15,-0.89,1.16,0.36,0.71,0.12,0.59
411169508,0,20.12,0,1399.00,0.74,-0.58,-0.87,0.96,0.36,0.72,0.12,0.59
411291053,0,19.65,0,1399.00,0.55,-0.92,-0.60,0.24,0.36,0.72,0.12,0.59
411420763,0,20.12,0,1399.00,0.45,0.59,-1.26,0.89,0.36,0.71,0.12,0.59
411541119,0,20.12,0,1399.00,0.41,-1.06,-1.19,0.76,0.36,0.72,0.12,0.59
411671298,0,19.65,0,1399.00,0.33,1.05,-0.67,0.62,0.36,0.72,0.12,0.59
411791051,0,18.71,0,1399.00,0.28,0.10,-0.33,0.19,0.36,0.72,0.12,0.59
411917687,0,19.65,0,1399.00,0.28,1.65,-0.61,1.39,0.36,0.71,0.12,0.59
412041054,0,20.12,0,1399.00,0.28,-0.77,-0.21,0.05,0.36,0.71,0.12,0.59
412167704,0,20.12,0,1400.75,4.22,1.46,-0.36,0.30,0.36,0.71,0.12,0.59
412291053,0,19.18,0,1400.75,3.01,-0.24,0.17,1.73,0.36,0.72,0.12,0.59
412417687,0,19.18,0,1400.75,2.04,-0.07,1.49,-0.30,0.36,0.72,0.12,0.59
412541055,0,20.12,0,1400.75,1.48,2.60,0.17,0.81,0.36,0.72,0.12,0.59
412668051,0,18.71,0,1400.75,1.07,-0.43,-1.26,-0.04,0.36,0.72,0.12,0.59
412791051,0,19.18,0,1400.75,0.75,1.13,-0.72,0.64,0.36,0.72,0.12,0.59
412919310,0,19.65,0,1400.75,0.61,0.84,-0.23,1.24,0.36,0.71,0.12,0.59
413041053,0,19.18,0,1400.75,0.50,-0.82,-1.14,0.21,0.36,0.72,0.12,0.59
413170537,0,19.65,0,1402.56,4.40,0.20,-1.34,0.90,0.36,0.72,0.12,0.59
413291053,0,19.18,0,1402.56,3.11,0.81,-0.89,0.74,0.36,0.72,0.12,0.59
413421272,0,20.12,0,1402.56,2.11,0.70,-0.88,0.33,0.36,0.72,0.12,0.59
413541054,0,20.12,0,1402.56,1.51,1.24,-0.02,1.08,0.36,0.72,0.12,0.59
413667710,0,19.65,0,1402.56,1.09,0.42,-0.77,0.18,0.36,0.71,0.12,0.59
413791055,0,19.65,0,1402.56,0.82,0.03,0.00,0.66,0.36,0.71,0.12,0.59
413917679,0,19.18,0,1402.56,0.65,-1.10,-0.51,1.18,0.36,0.72,0.12,0.59
414041051,0,20.12,0,1402.56,0.49,1.19,-0.67,0.39,0.36,0.72,0.12,0.59
414167716,0,20.12,0,1399.94,-5.19,0.54,-0.67,0.45,0.36,0.72,0.12,0.59
414291054,0,19.65,0,1399.94,-3.48,1.37,-0.42,0.69,0.36,0.72,0.12,0.59
414418111,0,19.18,0,1399.94,-2.21,-0.10,-0.60,1.07,0.36,0.71,0.12,0.59
414541054,0,19.65,0,1399.94,-1.46,-0.40,-0.88,0.54,0.36,0.71,0.12,0.59
414669351,0,19.65,0,1399.94,-0.87,0.14,-1.10,1.20,0.36,0.71,0.12,0.59
414791052,0,20.12,0,1399.94,-0.49,0.20,-1.70,0.76,0.36,0.72,0.12,0.59
414919993,0,19.18,0,1399.94,-0.26,1.62,-0.56,0.46,0.35,0.72,0.12,0.59
415041240,0,19.65,0,1403.56,10.82,0.14,-0.68,0.19,0.35,0.72,0.12,0.59
415167752,0,19.18,0,1403.56,7.24,2.63,-1.01,1.24,0.35,0.72,0.12,0.59
415291052,0,20.12,0,1403.56,5.01,-0.01,-0.51,0.27,0.35,0.72,0.12,0.59
415417741,0,19.18,0,1403.56,3.41,2.78,-1.05,0.72,0.35,0.71,0.12,0.59
415541053,0,19.65,0,1403.56,2.43,-0.90,-2.59,1.21,0.35,0.71,0.12,0.59
415667753,0,19.65,0,1403.56,1.67,1.35,0.24,0.53,0.35,0.71,0.12,0.59
415791052,0,20.12,0,1403.56,1.22,0.36,0.37,1.30,0.35,0.71,0.13,0.59
415917750,0,19.65,0,1403.56,0.88,0.65,-0.43,0.16,0.35,0.72,0.13,0.59
416041056,1,19.65,0,1401.12,-6.71,0.11,0.65,0.98,0.35,0.71,0.13,0.59
416178222,1,19.18,0,1401.12,-4.19,-0.38,-0.31,1.32,0.35,0.71,0.13,0.59
416301781,1,19.65,0,1401.12,-2.81,-0.25,-1.76,-0.11,0.35,0.71,0.13,0.59
416429580,1,19.65,0,1401.12,-1.79,0.32,-0.98,0.94,0.35,0.71,0.13,0.59
416551781,1,19.18,0,1401.12,-1.15,0.97,-1.42,0.97,0.35,0.71,0.13,0.59
416680611,1,19.65,0,1401.12,-0.71,1.18,-1.51,-0.20,0.34,0.71,0.13,0.60
