#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 10475, 3,    -0.14, 3,   boost,   42.36,  91432.00,  858.13,   23.31,   57.59, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,    -0.13, 3,   boost,   44.61,  91418.00,  859.39,   24.58,   58.42, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.12, 3,   boost,   46.94,  91406.00,  860.48,   25.67,   59.26, 31.4, 8.34, 8.35, 8.40
6, 10475, 3,    -0.11, 3,   boost,   49.35,  91398.00,  861.20,   26.39,   60.10, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.10, 3,   boost,   51.84,  91391.00,  861.84,   27.02,   60.96, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.09, 3,   boost,   54.40,  91365.00,  864.19,   29.38,   61.83, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.08, 3,   boost,   57.03,  91355.00,  865.10,   30.28,   62.71, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.07, 3,   boost,   59.73,  91338.00,  866.63,   31.82,   63.61, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,    -0.06, 3,   boost,   62.48,  91330.00,  867.36,   32.54,   64.51, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,    -0.05, 3,   boost,   65.28,  91315.00,  868.72,   33.90,   65.42, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.04, 3,   boost,   68.12,  91302.00,  869.89,   35.08,   66.35, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.03, 3,   boost,   70.99,  91281.00,  871.80,   36.98,   67.28, 31.4, 8.34, 8.35, 8.40
6, 10475, 3,    -0.02, 3,   boost,   73.88,  91262.00,  873.52,   38.70,   68.23, 31.4, 8.34, 8.34, 8.40
6, 10475, 3,    -0.01, 3,   boost,   76.77,  91249.00,  874.70,   39.88,   69.18, 31.4, 8.34, 8.35, 8.41
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
6, 10475, 3,     0.00, 3,   boost,   79.66,  91228.00,  876.60,   41.78,   70.15, 31.4, 8.35, 8.34, 8.40
