# R@VT IREC 2026 (Up to date)
# 3169 data points written for 15 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.1 m/s):  "SkyAngle Classic II 36 [Cd 1.34 (8.4 oz) 56.6 in^3] With Shock Cord"
#   Recovery device deployment at high speed (23.7 m/s):  "SkyAngle Classic Cert-3 XL (MUTD)"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Latitude (° N),Longitude (° E),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Gravitational acceleration (m/s²),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,201.168,0,0,0,0,37.19479086561544,-80.39436107197253,0,0,0,9.798607014522403,0.002,0.004615708
0.002,0,201.168,0,0,0,0,37.19479086561544,-80.39436107197253,0,0,0,9.798607014522403,0.002,0.007744458
0.004,0,201.168,0,0,0,0,37.19479086561544,-80.39436107197253,0,0,0,9.798607014522403,0.002,0.008927583
0.006,0,201.168,0,0,0,0,37.19479086561544,-80.39436107197253,0,0,0,9.798607014522403,0.002,0.009592417
0.008,0.000000907770099,201.1680009077701,0.001633833990455,0.00249692652125,2.178191712046262,2.515775635551785,37.19479086561544,-80.39436107195597,0,0,0,9.798607014519613,0.002,0.010247333
0.01,0.000010528407762,201.16801052840776,0.008985121983167,0.010149695063951,5.173146642989786,5.407184335000434,37.19479086561544,-80.39436107188267,0,0,0,9.798607014490019,0.002,0.010895333
0.012,0.00004084173265,201.16804084173265,0.022326621880804,0.02377882645614,8.168403571316176,8.383847086328846,37.19479086561544,-80.39436107173843,0,0,0,9.798607014396778,0.002,0.011457333
0.014,0.000103828772416,201.16810382877242,0.0416589374502,0.043429524993827,11.16396226731427,11.379295012108877,37.19479086561544,-80.39436107150907,0,0,0,9.798607014203036,0.002,0.012007792
0.016,0.00021147176172,201.16821147176174,0.066982671958506,0.069105197616531,14.15982258183056,14.381985525345476,37.19479086561544,-80.39436107118037,0,0,0,9.798607013871935,0.002,0.012567833
0.018,0.000375754141874,201.1683757541419,0.098298428847912,0.100806534112814,17.155984539447925,17.38832449765514,37.19479086561544,-80.39436107073816,0,0,0,9.798607013366622,0.002,0.013120375
0.02,0.000608660560603,201.1686086605606,0.135606810951728,0.138533988226645,20.15244775149981,20.396832625853715,37.19479086561544,-80.39436107016823,0,0,0,9.79860701265022,0.002,0.013670208
0.022,0.000922176870659,201.16892217687067,0.178908420497458,0.182288032583752,23.14921193084047,23.406790099905546,37.19479086561544,-80.39436106945638,0,0,0,9.798607011685874,0.002,0.014219167
0.024,0.001328290128653,201.16932829012865,0.228203859103791,0.232069177210838,26.14627675598704,26.417804662189106,37.19479086561544,-80.39436106858844,0,0,0,9.79860701043671,0.002,0.01479075
0.026,0.001838988593764,201.16983898859377,0.283493727712996,0.287877960318858,29.143641872164576,29.429644275800776,37.19479086561544,-80.39436106755018,0,0,0,9.798607008865849,0.002,0.015511
0.028,0.00246626172633,201.17046626172635,0.344778626525248,0.349714938961035,32.141306892189,32.4421628311386,37.19479086561544,-80.3943610663274,0,0,0,9.798607006936415,0.002,0.016136333
0.03,0.003222100186289,201.1712221001863,0.412059154934583,0.417580682482068,35.1392713972222,35.45526366896223,37.19479086561544,-80.39436106491026,0,0,0,9.798607004611528,0.002,0.016686917
0.032,0.004118495831511,201.1721184958315,0.485335911466259,0.491475768210916,38.137534937426075,38.46888022259539,37.194790865615445,-80.39436106327685,0,0,0,9.798607001854299,0.002,0.017177583
0.034,0.005167441715995,201.173167441716,0.564609493715343,0.571400778638387,41.13609703253611,41.4829650873792,37.194790865615445,-80.39436106141645,0,0,0,9.798606998627838,0.002,0.017664375
0.036,0.006380932087951,201.17438093208796,0.649880498286374,0.657356299538686,44.134957172369774,44.49748352733783,37.194790865615445,-80.39436105931487,0,0,0,9.798606994895259,0.002,0.018150875
0.038,0.007770962387758,201.17577096238776,0.741149520733992,0.749342918690971,47.13411481728107,47.512409451029534,37.194790865615445,-80.39436105695792,0,0,0,9.798606990619657,0.002,0.018624917
0.04,0.009349529245804,201.17734952924582,0.838417155504424,0.847361224987322,50.13356939857031,50.52772282658469,37.194790865615445,-80.39436105433138,0,0,0,9.798606985764133,0.002,0.019300583
0.042,0.011128630480215,201.17912863048022,0.941683995877758,0.951411807794079,53.13332031885587,53.54340796930366,37.19479086561545,-80.39436105142104,0,0,0,9.798606980291789,0.002,0.019827375
0.044,0.013120265094461,201.18112026509448,1.050950633910924,1.061495256482486,56.133366952413716,56.55945237654672,37.194790865615445,-80.39436104821273,0,0,0,9.798606974165704,0.002,0.02030825
0.046,0.015336433274858,201.18333643327486,1.166217660381321,1.177612160074652,59.13370864548886,59.57584591620336,37.19479086561546,-80.39436104469223,0,0,0,9.79860696734898,0.002,0.020960333
0.048,0.017789136387949,201.18578913638797,1.287485664731048,1.299763106969487,62.134344716582476,62.592580249608446,37.19479086561546,-80.39436104084534,0,0,0,9.798606959804697,0.002,0.021542583
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.020490376977781,201.1884903769778,1.414755235011688,1.427948684725052,65.24228771393736,65.6016604740291,37.194790865615474,-80.39436103665783,0,0,0,9.798606951495936,0.002,0.022101375
0.052,0.023452372786132,201.19145237278613,1.54824097913076,1.562109525659277,68.24350509899942,68.61940940347897,37.194790865615474,-80.39436103213845,0,0,0,9.798606942385117,0.002,0.022569083
0.054,0.026687342712098,201.19468734271211,1.687729449865246,1.702313589081085,71.24501419786054,71.63745165356904,37.19479086561548,-80.39436102729591,0,0,0,9.798606932434655,0.002,0.022994458
0.056,0.030207292791805,201.1982072927918,1.83322122983995,1.848560286495662,74.2468142033302,74.65578641266261,37.19479086561549,-80.39436102211603,0,0,0,9.79860692160762,0.002,0.023417583
0.058,0.034024230224995,201.202024230225,1.984716900038758,2.000849250744729,77.2489042817091,77.67441284246807,37.19479086561549,-80.39436101658454,0,0,0,9.79860690986708,0.002,0.023829542
